arquivo,objetivo,crossover,mutacao,valor,geracoes,tempo
function_opt_7.csv,min,dois_pontos,0.05,-635.1652188994832,100,0.0426
function_opt_7.csv,min,dois_pontos,0.1,-716.9367889963596,100,0.0433
function_opt_7.csv,min,uniforme,0.01,-501.77862221826064,100,0.0375
function_opt_7.csv,min,uniforme,0.05,-646.2839298301715,100,0.0382
function_opt_7.csv,min,uniforme,0.1,-753.0738927219729,100,0.0385
function_opt_7.csv,max,ponto_um,0.01,488.8257256811344,100,0.0376
function_opt_7.csv,max,ponto_um,0.05,588.2311977115285,100,0.0371
function_opt_7.csv,max,ponto_um,0.1,736.4866432686069,100,0.0387
function_opt_7.csv,max,dois_pontos,0.01,520.7168862879186,100,0.0407
function_opt_7.csv,max,dois_pontos,0.05,662.3501759917812,100,0.0425
function_opt_7.csv,max,dois_pontos,0.1,804.6057387908884,100,0.0435
function_opt_7.csv,max,uniforme,0.01,437.12343080773525,100,0.0368
function_opt_7.csv,max,uniforme,0.05,660.0578460110248,100,0.038
function_opt_7.csv,max,uniforme,0.1,798.8596694520852,100,0.0389
function_opt_8.csv,min,ponto_um,0.01,-663.0045479650594,100,0.039
function_opt_8.csv,min,ponto_um,0.05,-751.5790697643109,100,0.0392
function_opt_8.csv,min,ponto_um,0.1,-892.8652705492414,100,0.0402
function_opt_8.csv,min,dois_pontos,0.01,-619.8198787079043,100,0.0436
function_opt_8.csv,min,dois_pontos,0.05,-770.1653700055738,100,0.0433
function_opt_8.csv,min,dois_pontos,0.1,-983.7309021423598,100,0.0447
function_opt_8.csv,min,uniforme,0.01,-677.1061538470105,100,0.0397
function_opt_8.csv,min,uniforme,0.05,-874.3069161514189,100,0.0401
function_opt_8.csv,min,uniforme,0.1,-931.9384320653477,100,0.0406
function_opt_8.csv,max,ponto_um,0.01,602.1176502855375,100,0.0392
function_opt_8.csv,max,ponto_um,0.05,843.6471069615357,100,0.0386
function_opt_8.csv,max,ponto_um,0.1,962.1959083230411,100,0.0397
function_opt_8.csv,max,dois_pontos,0.01,641.5013099270936,100,0.0442
function_opt_8.csv,max,dois_pontos,0.05,795.3415865346418,100,0.0438
function_opt_8.csv,max,dois_pontos,0.1,957.82083106251,100,0.045
function_opt_8.csv,max,uniforme,0.01,672.6035382935013,100,0.0397
function_opt_8.csv,max,uniforme,0.05,880.4238128166128,100,0.0401
function_opt_8.csv,max,uniforme,0.1,997.4519590945478,100,0.0404
function_opt_9.csv,min,ponto_um,0.01,-724.9021306240052,100,0.0408
function_opt_9.csv,min,ponto_um,0.05,-911.22547903037,100,0.0402
function_opt_9.csv,min,ponto_um,0.1,-964.8310108812798,100,0.0407
function_opt_9.csv,min,dois_pontos,0.01,-773.479907657995,100,0.0452
function_opt_9.csv,min,dois_pontos,0.05,-931.2579525443674,100,0.0458
function_opt_9.csv,min,dois_pontos,0.1,-1000.8377626322972,100,0.0452
function_opt_9.csv,min,uniforme,0.01,-807.0433371723352,100,0.0417
function_opt_9.csv,min,uniforme,0.05,-964.7825908211564,100,0.0416
function_opt_9.csv,min,uniforme,0.1,-1118.5079710695052,100,0.0417
function_opt_9.csv,max,ponto_um,0.01,606.0290877179656,100,0.0397
function_opt_9.csv,max,ponto_um,0.05,923.669384462158,100,0.0401
function_opt_9.csv,max,ponto_um,0.1,1019.7414134807854,100,0.0417
function_opt_9.csv,max,dois_pontos,0.01,784.2910615437453,100,0.0446
function_opt_9.csv,max,dois_pontos,0.05,987.6000302909404,100,0.0452
function_opt_9.csv,max,dois_pontos,0.1,1114.552351431703,100,0.0455
function_opt_9.csv,max,uniforme,0.01,793.9424079981172,100,0.0418
function_opt_9.csv,max,uniforme,0.05,971.7831865491571,100,0.0406
function_opt_9.csv,max,uniforme,0.1,1166.1717170447175,100,0.0421
